atc_level_01_code,atc_level_01_name,atc_level_02_code,atc_level_02_name,atc_level_03_code,atc_level_03_name,atc_level_04_code,atc_level_04_name,atc_level_04_note,atc_level_05_code,atc_level_05_name,DDD_O,DDD_P,DDD_R,DDD_SL,DDD_TD,note,unit_O,unit_P,unit_R,unit_SL,unit_TD,atc_level_05_note,DDD_inhalesolution,DDD_N,unit_inhalesolution,unit_N,DDD_oral_aerosol,unit_oral_aerosol,DDD_sc_implant,DDD_urethral,DDD_V,unit_sc_implant,unit_urethral,unit_V,DDD_inhalepowder,unit_inhalepowder,DDD_implant,DDD_intravesical,unit_implant,unit_intravesical,DDD_chewing_gum,DDD_inhale,DDD_inhaleaerosol,unit_chewing_gum,unit_inhale,unit_inhaleaerosol,DDD_instillsolution,unit_instillsolution,DDD_lamella,DDD_ointment,unit_lamella,unit_ointment
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA01,sodium fluoride,1.1,NA,NA,NA,NA,0.5 mg fluoride,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA02,sodium monofluorophosphate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA03,olaflur,1.1,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA04,stannous fluoride,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA30,combinations,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AA,Caries prophylactic agents,"For caries prophylactic agents in A01AA, the DDDs are based on use in children.  DDDs are only established for tablets.",A01AA51,"sodium fluoride, combinations",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB02,hydrogen peroxide,60,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB03,chlorhexidine,30,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB04,amphotericin B,40,NA,NA,NA,NA,NA,mg,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A,ALIMENTARY TRACT AND METABOLISM,A01,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01AB,Antiinfectives and antiseptics for local oral treatment,The DDD for amphotericin in this group refers to lozenges.The DDD for minocycline is based on the amount of active substance used in one periodontal pocket in local treatment of periodontitis.,A01AB05,polynoxylin,0.18,NA,NA,NA,NA,NA,g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
